"Ligand"	"Receptor"	"known"	"Source"	"Databases"	"Evidence"	"PMIDs"
"Col4a5_Itgb1"	"Col4a5"	"Itgb1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col4a6_Cd47"	"Col4a6"	"Cd47"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col4a6_Cd93"	"Col4a6"	"Cd93"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"1377218"
"Col4a6_Itga1"	"Col4a6"	"Itga1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col4a6_Itga2"	"Col4a6"	"Itga2"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col4a6_Itgav"	"Col4a6"	"Itgav"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col4a6_Itgb1"	"Col4a6"	"Itgb1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col5a1_Itga1"	"Col5a1"	"Itga1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col5a1_Itgb1"	"Col5a1"	"Itgb1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col5a1_Sdc3"	"Col5a1"	"Sdc3"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"11751872"
"Col5a2_Ddr1"	"Col5a2"	"Ddr1"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"9659900"
"Col5a2_Itga1"	"Col5a2"	"Itga1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col5a2_Itgb1"	"Col5a2"	"Itgb1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col5a3_Sdc3"	"Col5a3"	"Sdc3"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11751872"
"Col6a1_Itga1"	"Col6a1"	"Itga1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col6a1_Itga2"	"Col6a1"	"Itga2"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col6a1_Itga6"	"Col6a1"	"Itga6"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col6a1_Itgb1"	"Col6a1"	"Itgb1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col6a2_Itga1"	"Col6a2"	"Itga1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col6a2_Itga2"	"Col6a2"	"Itga2"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col6a2_Itgb1"	"Col6a2"	"Itgb1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col6a3_Itga1"	"Col6a3"	"Itga1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col6a3_Itga2"	"Col6a3"	"Itga2"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col6a3_Itgb1"	"Col6a3"	"Itgb1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Col8a1_Itga1"	"Col8a1"	"Itga1"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"12482545,10666376"
"Col8a1_Itga2"	"Col8a1"	"Itga2"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"12482545,10666376"
"Col9a1_Mag"	"Col9a1"	"Mag"	"novel"	"HPRD,"	"literature"	"supported"	"2446864"
"Col9a2_Mag"	"Col9a2"	"Mag"	"novel"	"HPRD,"	"literature"	"supported"	"2446864"
"Colq_Musk"	"Colq"	"Musk"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"15159418"
"Cort_Ghsr"	"Cort"	"Ghsr"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11227737"
"Cort_Mrgpra6"	"Cort"	"Mrgpra6"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12915402"
"Cort_Sstr1"	"Cort"	"Sstr1"	"known"	"HPMR,IUPHAR,HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11011067,9650799,10598788,15333679,9205124,9125122"
"Cort_Sstr2"	"Cort"	"Sstr2"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9125122,9650799,10598788,15333679"
"Cort_Sstr3"	"Cort"	"Sstr3"	"known"	"HPMR,IUPHAR,HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9125122,9650799,10598788,15333679,9205124"
"Cort_Sstr4"	"Cort"	"Sstr4"	"known"	"HPMR,IUPHAR,HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11011067,9650799,10598788,9125122,9205124"
"Cort_Sstr5"	"Cort"	"Sstr5"	"known"	"HPMR,IUPHAR,HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11011067,9650799,10598788,15333679,9205124,9125122"
"Cp_Slc40a1"	"Cp"	"Slc40a1"	"novel"	"literature"	"supported"	"24921009"	""
"Crh_Crhr1"	"Crh"	"Crhr1"	"known"	"HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8536644,7692441,9326293,9851694,11123370,8612563,7477349,9178757"
"Crh_Crhr2"	"Crh"	"Crhr2"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8536644,11123370,8243338"
"Crh_Mc2r"	"Crh"	"Mc2r"	"known"	"IUPHAR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported "	""
"Crp_Olr1"	"Crp"	"Olr1"	"novel"	"literature"	"supported"	"21821723"	""
"Csf1_Csf1r"	"Csf1"	"Csf1r"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7883784,2408759,8355686"
"Csf2_Csf1r"	"Csf2"	"Csf1r"	"known"	"IUPHAR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported "	""
"Csf2_Csf2ra"	"Csf2"	"Csf2ra"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"2828352,10572088,1702217,8910448,9211889"
"Csf2_Csf2rb2"	"Csf2"	"Csf2rb2"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"2828352,8278375,2645577"
"Csf2_Csf3r"	"Csf2"	"Csf3r"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11091218"
"Csf2_Itga9"	"Csf2"	"Itga9"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Csf2_Itgb1"	"Csf2"	"Itgb1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Csf2_Sdc2"	"Csf2"	"Sdc2"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10734053"
"Csf3_Csf1r"	"Csf3"	"Csf1r"	"known"	"IUPHAR,HPMR.Receptor"	"literature"	"supported "	""
"Csf3_Csf3r"	"Csf3"	"Csf3r"	"known"	"DLRP,IUPHAR,HPRD,HPMR.Receptor"	"literature"	"supported"	"10364174"
"Gh_Prlr"	"Gh"	"Prlr"	"known"	"IUPHAR,HPMR.Receptor"	"literature"	"supported "	""
"Ctf1_Il6st"	"Ctf1"	"Il6st"	"known"	"DLRP,HPRD,HPMR.Receptor"	"literature"	"supported"	"11834704"
"Ctf1_Lifr"	"Ctf1"	"Lifr"	"known"	"DLRP,HPRD,STRING.binding,HPMR.Receptor"	"literature"	"supported"	"11834704"
"Cthrc1_Fzd3"	"Cthrc1"	"Fzd3"	"novel"	"literature"	"supported"	"18606138"	""
"Cthrc1_Fzd5"	"Cthrc1"	"Fzd5"	"novel"	"STRING.binding,HPMR.Receptor"	"literature"	"supported"	"18606138"
"Cthrc1_Fzd6"	"Cthrc1"	"Fzd6"	"novel"	"STRING.binding,HPMR.Receptor"	"literature"	"supported"	"18606138"
"Cubn_Lrp2"	"Cubn"	"Lrp2"	"novel"	"HPRD,STRING.binding,HPMR.Receptor"	"literature"	"supported"	"11994745,11595644"
"Cx3cl1_Cx3cr1"	"Cx3cl1"	"Cx3cr1"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11432858,14607932,9931005,9390561"
"Cxcl10_Ccr3"	"Cxcl10"	"Ccr3"	"known"	"IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11110785"
"Cxcl10_Cxcr3"	"Cxcl10"	"Cxcr3"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9064356,12884299,9660793,15761110,12571234,10233762"
"Cxcl10_Sdc4"	"Cxcl10"	"Sdc4"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"20484822"
"Cxcl11_Ackr3"	"Cxcl11"	"Ackr3"	"known"	"IUPHAR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported "	""
"Cxcl11_Ccr3"	"Cxcl11"	"Ccr3"	"known"	"IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11110785"
"Cxcl11_Cxcr3"	"Cxcl11"	"Cxcr3"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12884299,15761110,15273303,9625760"
"Cxcl12_Ackr3"	"Cxcl12"	"Ackr3"	"known"	"HPMR,IUPHAR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16107333,20956518,23396314"
"Cxcl12_Ccr4"	"Cxcl12"	"Ccr4"	"novel"	"STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Cxcl12_Cd4"	"Cxcl12"	"Cd4"	"novel"	"HPRD,HPMR.Ligand"	"literature"	"supported"	"10600606"
"Cxcl12_Cxcr3"	"Cxcl12"	"Cxcr3"	"known"	"HPMR,IUPHAR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9660793"
"Cxcl12_Cxcr4"	"Cxcl12"	"Cxcr4"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8752280,12714578,9551924,9712844,10233851,8752281"
"Cxcl12_Itgb1"	"Cxcl12"	"Itgb1"	"novel"	"literature"	"supported"	"18448868"	""
"Cxcl12_Sdc4"	"Cxcl12"	"Sdc4"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Cxcl13_Ackr4"	"Cxcl13"	"Ackr4"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10706668"
"Cxcl13_Ccr10"	"Cxcl13"	"Ccr10"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10706668"
"Cxcl13_Cxcr3"	"Cxcl13"	"Cxcr3"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11554781"
"Cxcl13_Cxcr5"	"Cxcl13"	"Cxcr5"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9463416,9486651,9463416"
"Cxcl13_Htr2a"	"Cxcl13"	"Htr2a"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Cxcl13_Oprd1"	"Cxcl13"	"Oprd1"	"novel"	"STRING.binding,HPMR.Ligand"	"putative "	""	""
"Cxcl16_Cxcr6"	"Cxcl16"	"Cxcr6"	"known"	"HPMR,IUPHAR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"14625285,11290797,11017100,11290797"
"Cxcl5_Cxcr2"	"Cxcl5"	"Cxcr2"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12964882,9692902,10593335,9692902"
"Cxcl9_Ccr3"	"Cxcl9"	"Ccr3"	"known"	"IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11110785"
"Cxcl9_Cxcr3"	"Cxcl9"	"Cxcr3"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12884299,9660793,15761110,12782716"
"Dcn_Egfr"	"Dcn"	"Egfr"	"novel"	"HPRD,STRING.binding,STRING.experiment,HPMR.Receptor"	"literature"	"supported"	"12105206,9988678"
"Dcn_Erbb4"	"Dcn"	"Erbb4"	"novel"	"STRING.binding,HPMR.Receptor"	"literature"	"supported"	"10942781"
"Dcn_Met"	"Dcn"	"Met"	"novel"	"literature"	"supported"	"10942781"	""
"Defb14_Ccr6"	"Defb14"	"Ccr6"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"11714836"
"Dhh_Boc"	"Dhh"	"Boc"	"novel"	"STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"20519495"
"Dhh_Cdon"	"Dhh"	"Cdon"	"novel"	"STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"20519495"
"Dhh_Hhip"	"Dhh"	"Hhip"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10050855,11435703"
"Dhh_Ptch1"	"Dhh"	"Ptch1"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9811851"
"Dhh_Ptch2"	"Dhh"	"Ptch2"	"known"	"HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9811851"
"Dkk1_Kremen1"	"Dkk1"	"Kremen1"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12050670"
"Dkk1_Kremen2"	"Dkk1"	"Kremen2"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12050670"
"Dkk1_Lrp5"	"Dkk1"	"Lrp5"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11516963"
"Dkk1_Lrp6"	"Dkk1"	"Lrp6"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11357136,11448771"
"Dkk2_Kremen2"	"Dkk2"	"Kremen2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12527209"
"Dkk2_Lrp6"	"Dkk2"	"Lrp6"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11357136,11742004,11357136"
"Dlk1_Notch1"	"Dlk1"	"Notch1"	"known"	"DLRP,STRING.binding,HPMR.Receptor"	"literature"	"supported"	"21419176"
"Dlk1_Notch2"	"Dlk1"	"Notch2"	"known"	"DLRP,HPMR.Receptor"	"putative "	""	""
"Dlk1_Notch3"	"Dlk1"	"Notch3"	"known"	"DLRP,HPMR.Receptor"	"putative "	""	""
"Dlk2_Notch1"	"Dlk2"	"Notch1"	"novel"	"literature"	"supported"	"21419176"	""
"Dll1_Notch1"	"Dll1"	"Notch1"	"known"	"DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9819428,11006133"
"Dll1_Notch2"	"Dll1"	"Notch2"	"known"	"DLRP,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10958687"
"Dll1_Notch3"	"Dll1"	"Notch3"	"known"	"DLRP,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12482954,11006133"
"Dll3_Notch1"	"Dll3"	"Notch1"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Dll3_Notch2"	"Dll3"	"Notch2"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Dll3_Notch3"	"Dll3"	"Notch3"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Dll4_Notch1"	"Dll4"	"Notch1"	"known"	"DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16219802,10837024,11739188"
"Dll4_Notch2"	"Dll4"	"Notch2"	"known"	"DLRP,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"22842086"
"Dll4_Notch3"	"Dll4"	"Notch3"	"known"	"DLRP,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"18182388"
"Dscam_Dcc"	"Dscam"	"Dcc"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Ebi3_Il27ra"	"Ebi3"	"Il27ra"	"novel"	"HPRD,STRING.binding,"	"literature"	"supported"	"12121660"
"Ebi3_Il6st"	"Ebi3"	"Il6st"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Ecm1_Cachd1"	"Ecm1"	"Cachd1"	"novel"	"STRING.binding,"	"putative "	""	""
"Eda_Eda2r"	"Eda"	"Eda2r"	"known"	"HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12084975,11039935,12270937"
"Eda_Edar"	"Eda"	"Edar"	"known"	"HPMR,IUPHAR,HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12084975,11039935,11309369"
"Edil3_Itgav"	"Edil3"	"Itgav"	"novel"	"HPRD,STRING.binding,HPMR.Receptor"	"literature"	"supported"	"11959660"
"Edil3_Itgb5"	"Edil3"	"Itgb5"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Edn1_Ednra"	"Edn1"	"Ednra"	"known"	"HPMR,IUPHAR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9082970,7647976,10770212"
"Edn1_Ednrb"	"Edn1"	"Ednrb"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12972292"
"Edn1_Kel"	"Edn1"	"Kel"	"novel"	"HPRD,HPMR.Ligand"	"literature"	"supported"	"10438732"
"Edn2_Ednra"	"Edn2"	"Ednra"	"known"	"HPMR,IUPHAR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"2175397,9082970,7647976"
"Edn2_Ednrb"	"Edn2"	"Ednrb"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"14659083"
"Edn2_Kel"	"Edn2"	"Kel"	"novel"	"HPRD,HPMR.Ligand"	"literature"	"supported"	"10438732"
"Edn3_Ednra"	"Edn3"	"Ednra"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11982704"
"Edn3_Ednrb"	"Edn3"	"Ednrb"	"known"	"HPMR,IUPHAR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8001160,8086489,7524189,8460684,8904635,11982704"
"Edn3_Kel"	"Edn3"	"Kel"	"novel"	"HPRD,HPMR.Ligand"	"literature"	"supported"	"10438732"
"Efemp1_Egfr"	"Efemp1"	"Egfr"	"novel"	"STRING.binding,HPMR.Receptor"	"literature"	"supported"	"19804359"
"Efemp2_Aqp1"	"Efemp2"	"Aqp1"	"novel"	"HPRD,"	"literature"	"supported"	"16189514"
"Efemp2_Catsper1"	"Efemp2"	"Catsper1"	"novel"	"HPRD,"	"literature"	"supported"	"16189514"
"Efemp2_Lingo1"	"Efemp2"	"Lingo1"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"16189514"
"Efemp2_Plscr4"	"Efemp2"	"Plscr4"	"novel"	"HPRD,"	"literature"	"supported"	"16189514"
"Efna1_Epha1"	"Efna1"	"Epha1"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,8755474,11519828"
"Efna1_Epha2"	"Efna1"	"Epha2"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11248553,14692877,8755474,7973638"
"Efna1_Epha3"	"Efna1"	"Epha3"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,8070404"
"Efna1_Epha4"	"Efna1"	"Epha4"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,8755474"
"Efna1_Epha5"	"Efna1"	"Epha5"	"known"	"DLRP,HPMR,HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,8755474"
"Efna1_Epha6"	"Efna1"	"Epha6"	"known"	"HPMR,HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,8755474"
"Efna1_Epha7"	"Efna1"	"Epha7"	"known"	"DLRP,HPMR,HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,8755474"
"Efna1_Epha8"	"Efna1"	"Epha8"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10515610"
"Efna1_Ephb1"	"Efna1"	"Ephb1"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8755474,7973638,8070404"
"Efna1_Ephb6"	"Efna1"	"Ephb6"	"novel"	"STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Efna2_Epha1"	"Efna2"	"Epha1"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Efna2_Epha2"	"Efna2"	"Epha2"	"known"	"DLRP,HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8755474"
"Efna2_Epha3"	"Efna2"	"Epha3"	"known"	"DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,9751130"
"Efna2_Epha4"	"Efna2"	"Epha4"	"known"	"DLRP,HPMR,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863"
"Efna2_Epha5"	"Efna2"	"Epha5"	"known"	"DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,10531456"
"Efna2_Epha6"	"Efna2"	"Epha6"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863"
"Efna2_Epha7"	"Efna2"	"Epha7"	"known"	"DLRP,HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863"
"Efna2_Epha8"	"Efna2"	"Epha8"	"known"	"DLRP,HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863"
"Efna3_Epha1"	"Efna3"	"Epha1"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"16466970"
"Efna3_Epha2"	"Efna3"	"Epha2"	"known"	"DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,12907451"
"Efna3_Epha3"	"Efna3"	"Epha3"	"known"	"DLRP,HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863"
"Efna3_Epha4"	"Efna3"	"Epha4"	"known"	"DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,12496762"
"Efna3_Epha5"	"Efna3"	"Epha5"	"known"	"DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,10516308"
"Efna3_Epha6"	"Efna3"	"Epha6"	"known"	"HPMR,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863"
"Efna3_Epha7"	"Efna3"	"Epha7"	"known"	"DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,10366629"
"Efna3_Epha8"	"Efna3"	"Epha8"	"known"	"DLRP,HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863"
"Efna3_Ephb1"	"Efna3"	"Ephb1"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863"
"Efna3_Ephb6"	"Efna3"	"Ephb6"	"novel"	"STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Efna4_Epha1"	"Efna4"	"Epha1"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Efna4_Epha2"	"Efna4"	"Epha2"	"known"	"DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,10607706,8755474"
"Efna4_Epha3"	"Efna4"	"Epha3"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8755474"
"Efna4_Epha4"	"Efna4"	"Epha4"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10366629"
"Efna4_Epha5"	"Efna4"	"Epha5"	"known"	"DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,10607706,8755474"
"Efna4_Epha6"	"Efna4"	"Epha6"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,10607706"
"Efna4_Epha7"	"Efna4"	"Epha7"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8755474"
"Efna4_Epha8"	"Efna4"	"Epha8"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10515610"
"Efna5_Epha1"	"Efna5"	"Epha1"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Efna5_Epha2"	"Efna5"	"Epha2"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,9245480"
"Efna5_Epha3"	"Efna5"	"Epha3"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,9751130,9195962,9245480"
"Efna5_Epha4"	"Efna5"	"Epha4"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,8755474"
"Efna5_Epha5"	"Efna5"	"Epha5"	"known"	"DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9330863,10531456"
